Date,P1,P2,P3,P4,P5,Red
2025-06-30,1,4,12,20,21,2
2025-07-02,1,6,17,25,32,10
2025-07-07,8,10,30,32,35,7
2025-07-09,2,4,13,28,35,4
2025-07-11,6,9,15,30,32,10
2025-07-14,15,18,27,28,30,3
2025-07-16,11,12,17,21,31,2
2025-07-18,8,11,15,31,32,6
2025-07-21,5,14,16,21,26,9
2025-07-23,12,14,15,22,33,6
2025-07-25,1,5,8,22,31,10
2025-07-28,12,15,22,23,24,1
2025-07-30,22,25,26,27,32,1
2025-08-01,2,4,8,16,34,9
2025-08-04,10,22,27,29,33,8
2025-08-06,4,11,17,18,19,5
2025-08-08,4,6,20,21,28,10
2025-08-11,7,12,27,34,35,2
2025-08-13,17,22,23,29,32,5
2025-08-15,6,9,21,25,28,9
2025-08-18,1,9,12,22,30,3
2025-08-20,6,13,30,31,34,2
2025-08-22,7,16,17,22,29,5
2025-08-25,5,11,12,16,31,5
2025-08-27,10,12,17,19,27,5
2025-08-29,8,16,18,21,27,7
2025-09-01,4,7,21,24,27,6
2025-09-03,1,3,21,22,34,8
2025-09-05,6,9,21,29,34,9
2025-09-08,6,7,12,24,29,9
2025-09-10,2,3,9,13,15,8
2025-09-12,1,10,15,22,28,3
2025-09-15,9,12,14,25,34,9
2025-09-17,3,6,10,13,25,8
2025-09-19,11,13,21,24,25,1
2025-09-22,13,20,23,28,33,6
2025-09-24,2,4,7,12,23,4
2025-09-26,2,3,16,21,33,5
2025-09-29,5,16,18,28,30,3
2025-10-01,8,18,26,31,34,5
2025-10-03,4,7,9,14,35,8
2025-10-06,3,20,22,23,34,3
2025-10-08,2,3,7,14,26,4
2025-10-10,5,14,20,22,30,9
2025-10-13,3,4,6,26,32,2
2025-10-15,5,12,19,23,33,7
2025-10-17,6,7,8,14,35,3
2025-10-20,2,9,20,27,29,1
2025-10-22,1,3,4,20,25,1
2025-10-24,12,18,19,21,24,2
2025-10-27,5,6,8,14,21,8
2025-10-29,3,4,9,15,28,8
2025-10-31,2,5,9,16,28,2
2025-11-03,1,4,5,17,33,3
2025-11-05,3,13,17,24,27,8
2025-11-07,4,12,24,26,33,9
2025-11-10,1,7,9,14,34,5
2025-11-12,3,11,13,16,20,4
2025-11-14,2,3,18,22,28,5
2025-11-17,14,19,23,25,28,6
2025-11-19,4,15,20,26,35,5
2025-11-21,13,24,25,27,33,9
2025-11-24,1,19,24,30,33,1
2025-11-26,4,10,12,24,31,3
2025-11-28,4,10,12,16,30,2
2025-12-01,10,11,12,17,28,4
2025-12-03,6,26,30,31,33,1
2025-12-05,1,7,9,18,20,8
2025-12-08,12,21,23,27,35,3
2025-12-10,18,20,24,34,35,2
2025-12-12,7,12,22,26,35,5
2025-12-15,21,27,31,33,35,4
2025-12-17,5,7,8,21,24,7
2025-12-19,5,18,25,26,35,7
2025-12-22,3,8,12,19,27,1
2025-12-24,19,21,22,25,31,5
2025-12-26,14,16,30,33,35,9
2025-12-29,6,8,19,20,26,10
2025-12-31,8,11,19,24,26,1
2026-01-02,12,20,21,32,33,1
2026-01-05,2,5,23,27,32,4
2026-01-07,13,18,21,27,32,10
2026-01-09,2,5,7,8,16,6
2026-01-12,3,10,22,32,34,8
2026-01-14,3,7,10,27,32,3
2026-01-16,4,6,15,22,23,5
2026-01-19,1,5,14,32,34,1
2026-01-21,11,13,15,23,27,2
2026-01-23,8,9,11,20,22,5
2026-01-26,9,10,14,20,34,7
2026-01-28,11,15,16,27,35,10
2026-01-30,2,9,23,29,30,8
2026-02-02,3,4,7,16,28,1
2026-02-04,5,25,27,29,33,9
2026-02-06,7,11,19,28,31,3
2026-02-09,5,7,10,14,29,3
2026-02-11,4,5,10,18,29,4
2026-02-13,2,11,14,20,31,8
2026-02-16,1,2,28,30,34,10
2026-02-18,3,17,25,31,35,9
2026-02-20,9,11,15,22,29,4
2026-02-23,1,5,9,23,30,9
2026-02-25,3,5,6,13,27,6
2026-02-27,6,8,21,33,35,4
2026-03-02,6,13,21,23,26,8
2026-03-04,4,5,20,21,24,8
2026-03-06,11,12,13,20,30,9
2026-03-09,1,22,23,30,34,2
2026-03-11,1,3,9,17,26,7
2026-03-13,2,16,21,28,34,1
2026-03-16,4,8,10,11,35,4
2026-03-18,3,6,22,24,32,7
2026-03-20,2,7,8,19,24,4
2026-03-25,2,4,9,13,27,10
2026-03-27,10,12,24,27,28,8
2026-03-30,6,9,15,16,31,7
2026-04-01,5,13,16,22,24,7
2026-04-06,3,13,22,24,32,2
2026-04-08,5,7,12,16,29,3
2026-04-10,1,4,8,15,26,5
2026-04-13,3,5,19,23,29,2
2026-04-15,8,11,12,17,25,1
2026-04-17,4,18,20,24,29,2
2026-04-20,4,5,25,28,33,2
2026-04-22,6,7,20,23,26,2
2026-04-24,2,13,21,22,35,7
2026-04-27,6,7,14,19,30,5
2026-04-29,6,7,21,25,32,8
2026-05-01,5,7,18,24,34,3
2026-05-04,6,7,10,11,34,5
2026-05-06,8,15,27,31,32,1
2026-05-08,7,11,15,23,26,2
2026-05-11,3,16,17,29,32,3
2026-05-13,6,10,12,30,31,10
2026-05-15,5,7,10,18,35,10
2026-05-18,2,7,15,20,24,4
2026-05-20,2,18,19,28,33,1
2026-05-22,3,9,17,27,31,3
2026-05-25,2,17,20,24,32,2
2026-05-27,4,8,20,25,34,4
2026-05-29,1,8,13,16,20,5
2026-06-01,7,15,23,26,33,1
2026-06-03,7,22,24,29,35,9
2026-06-05,7,8,10,23,27,3
2026-06-08,4,5,18,31,33,8
2026-06-10,6,13,20,21,26,8
2026-06-12,6,8,9,27,34,7
2026-06-15,5,13,15,27,32,9
2026-06-17,1,7,13,19,30,1
2026-06-19,02,18,28,32,34,04
2026-06-22,01,02,11,16,32,10
2026-06-24,10,23,29,33,35,09
2026-06-26,09,23,28,30,34,06
2026-06-29,06,11,15,22,29,08
2026-07-01,11,16,28,30,33,08
2026-07-03,03,08,25,27,35,05
2026-07-06,13,14,19,20,28,01
2026-07-08,02,03,07,18,19,05
2026-07-10,06,18,23,26,29,10
2026-07-13,17,18,23,30,33,05
2026-07-15,05,07,18,34,35,09
2026-07-17,06,07,21,23,27,08
2026-07-20,01,03,07,20,31,03
2026-07-22,01,03,12,16,23,09
2026-07-24,07,15,27,31,33,05
2026-07-27,20,28,29,30,32,01
2026-07-29,01,14,15,18,30,02
2026-07-31,04,05,11,13,16,02
